from	to	source	database
Qrfp	Qrfpr	pharmacology	guide2pharmacology
Alox5ap	Alox5	pharmacology	guide2pharmacology
Apln	Aplnr	pharmacology	guide2pharmacology
Lhb	Lhcgr	pharmacology	guide2pharmacology
Cga	Lhcgr	pharmacology	guide2pharmacology
Cga	Tshr	pharmacology	guide2pharmacology
Cga	Fshr	pharmacology	guide2pharmacology
Tshb	Tshr	pharmacology	guide2pharmacology
Fshb	Fshr	pharmacology	guide2pharmacology
Anxa1	Fpr1	pharmacology	guide2pharmacology
Anxa1	Fpr2	pharmacology	guide2pharmacology
Hebp1	Fpr2	pharmacology	guide2pharmacology
Camp	Fpr2	pharmacology	guide2pharmacology
Saa1	Fpr2	pharmacology	guide2pharmacology
App	Fpr2	pharmacology	guide2pharmacology
Cxcl1	Cxcr2	pharmacology	guide2pharmacology
Cxcl5	Cxcr2	pharmacology	guide2pharmacology
Ppbp	Cxcr2	pharmacology	guide2pharmacology
Cxcl2	Cxcr2	pharmacology	guide2pharmacology
Yars	Cxcr1	pharmacology	guide2pharmacology
Xcl1	Xcr1	pharmacology	guide2pharmacology
Rps19	C5ar1	pharmacology	guide2pharmacology
Hc	C5ar1	pharmacology	guide2pharmacology
Hc	C5ar2	pharmacology	guide2pharmacology
Ccl19	Cxcr3	pharmacology	guide2pharmacology
Ccl19	Ccrl2	pharmacology	guide2pharmacology
Ccl19	Ccr7	pharmacology	guide2pharmacology
Ccl19	Ackr4	pharmacology	guide2pharmacology
Ccl21a	Ccr7	pharmacology	guide2pharmacology
Ccl21a	Ackr4	pharmacology	guide2pharmacology
Ccl25	Ackr4	pharmacology	guide2pharmacology
Ccl25	Ccr9	pharmacology	guide2pharmacology
Ccl20	Cxcr3	pharmacology	guide2pharmacology
Ccl20	Ccr6	pharmacology	guide2pharmacology
Cxcl12	Cxcr3	pharmacology	guide2pharmacology
Cxcl12	Ackr3	pharmacology	guide2pharmacology
Cxcl12	Cxcr4	pharmacology	guide2pharmacology
Cxcl11	Ccr3	pharmacology	guide2pharmacology
Cxcl11	Cxcr3	pharmacology	guide2pharmacology
Cxcl11	Ackr3	pharmacology	guide2pharmacology
Cxcl9	Ccr3	pharmacology	guide2pharmacology
Cxcl9	Cxcr3	pharmacology	guide2pharmacology
Cxcl10	Ccr3	pharmacology	guide2pharmacology
Cxcl10	Cxcr3	pharmacology	guide2pharmacology
Ccl5	Gpr75	pharmacology	guide2pharmacology
Ccl5	Ccr1	pharmacology	guide2pharmacology
Ccl5	Ccr5	pharmacology	guide2pharmacology
Ccl5	Ccr3	pharmacology	guide2pharmacology
Ccl5	Cxcr3	pharmacology	guide2pharmacology
Ccl8	Ccr8	pharmacology	guide2pharmacology
Ccl8	Ccr1	pharmacology	guide2pharmacology
Ccl8	Ccr5	pharmacology	guide2pharmacology
Ccl8	Ccr2	pharmacology	guide2pharmacology
Ccl8	Ccr3	pharmacology	guide2pharmacology
Ccl2	Ccr1	pharmacology	guide2pharmacology
Ccl2	Ccr5	pharmacology	guide2pharmacology
Ccl2	Ccr2	pharmacology	guide2pharmacology
Ccl2	Ccr3	pharmacology	guide2pharmacology
Ccl2	Cxcr3	pharmacology	guide2pharmacology
Ccl7	Ccr1	pharmacology	guide2pharmacology
Ccl7	Ccr5	pharmacology	guide2pharmacology
Ccl7	Ccr2	pharmacology	guide2pharmacology
Ccl7	Ccr3	pharmacology	guide2pharmacology
Ccl7	Cxcr3	pharmacology	guide2pharmacology
Ccl11	Ccr5	pharmacology	guide2pharmacology
Ccl11	Ccr2	pharmacology	guide2pharmacology
Ccl11	Ccr3	pharmacology	guide2pharmacology
Ccl11	Cxcr3	pharmacology	guide2pharmacology
Ccl24	Ccr2	pharmacology	guide2pharmacology
Ccl24	Ccr3	pharmacology	guide2pharmacology
Ccl26	Ccr2	pharmacology	guide2pharmacology
Ccl26	Ccr3	pharmacology	guide2pharmacology
Ccl12	Ccr5	pharmacology	guide2pharmacology
Ccl12	Ccr2	pharmacology	guide2pharmacology
Ccl12	Ccr3	pharmacology	guide2pharmacology
Ccl4	Ccr1	pharmacology	guide2pharmacology
Ccl4	Ccr5	pharmacology	guide2pharmacology
Ccl3	Ccr1	pharmacology	guide2pharmacology
Ccl3	Ccr5	pharmacology	guide2pharmacology
Ccl28	Ccr10	pharmacology	guide2pharmacology
Ccl28	Ccr3	pharmacology	guide2pharmacology
Gm13306	Ccr10	pharmacology	guide2pharmacology
Ccl1	Ccr8	pharmacology	guide2pharmacology
Csf3	Csf1r	pharmacology	guide2pharmacology
Csf3	Csf3r	pharmacology	guide2pharmacology
Csf1	Csf1r	pharmacology	guide2pharmacology
Csf2	Csf2ra	pharmacology	guide2pharmacology
Csf2	Csf1r	pharmacology	guide2pharmacology
Angpt4	Tek	pharmacology	guide2pharmacology
Angpt1	Tek	pharmacology	guide2pharmacology
Cd70	Cd27	pharmacology	guide2pharmacology
Cd40lg	Cd40	pharmacology	guide2pharmacology
Eda	Eda2r	pharmacology	guide2pharmacology
Eda	Edar	pharmacology	guide2pharmacology
Edn2	Ednra	pharmacology	guide2pharmacology
Edn1	Ednra	pharmacology	guide2pharmacology
Edn3	Ednrb	pharmacology	guide2pharmacology
Epo	Epor	pharmacology	guide2pharmacology
Fasl	Fas	pharmacology	guide2pharmacology
Flt3l	Flt3	pharmacology	guide2pharmacology
Cxcl16	Cxcr6	pharmacology	guide2pharmacology
Galp	Galr1	pharmacology	guide2pharmacology
Galp	Galr3	pharmacology	guide2pharmacology
Galp	Galr2	pharmacology	guide2pharmacology
Gal	Galr1	pharmacology	guide2pharmacology
Gal	Galr3	pharmacology	guide2pharmacology
Gal	Galr2	pharmacology	guide2pharmacology
Gast	Cckar	pharmacology	guide2pharmacology
Gast	Cckbr	pharmacology	guide2pharmacology
Cck	Cckar	pharmacology	guide2pharmacology
Cck	Cckbr	pharmacology	guide2pharmacology
Gcg	Gcgr	pharmacology	guide2pharmacology
Gcg	Glp2r	pharmacology	guide2pharmacology
Gcg	Glp1r	pharmacology	guide2pharmacology
Ghrl	Ghsr	pharmacology	guide2pharmacology
Gip	Gipr	pharmacology	guide2pharmacology
Gnrh1	Gnrhr	pharmacology	guide2pharmacology
Hcrt	Hcrtr1	pharmacology	guide2pharmacology
Hcrt	Hcrtr2	pharmacology	guide2pharmacology
Cx3cl1	Cx3cr1	pharmacology	guide2pharmacology
Hgf	Met	pharmacology	guide2pharmacology
Igf2	Igf1r	pharmacology	guide2pharmacology
Igf1	Trpv2	pharmacology	guide2pharmacology
Igf1	Igf1r	pharmacology	guide2pharmacology
Il5	Il5ra	pharmacology	guide2pharmacology
Ins2	Insr	pharmacology	guide2pharmacology
Kiss1	Kiss1r	pharmacology	guide2pharmacology
Kitl	Kit	pharmacology	guide2pharmacology
Kng1	Bdkrb1	pharmacology	guide2pharmacology
Kng1	Bdkrb2	pharmacology	guide2pharmacology
Lep	Lepr	pharmacology	guide2pharmacology
Cxcl13	Cxcr5	pharmacology	guide2pharmacology
Mst1	Mst1r	pharmacology	guide2pharmacology
