Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
SQSTM1,8878,SMAD2,4087,0.901
CD82,3732,VANGL1,81839,0.998
GRB2,2885,ITK,3702,0.951
CEBPA,1050,RBL1,5933,0.902
SPTBN4,57731,GSK3B,2932,0.901
SMURF2,64750,SF3A2,8175,0.895
NOTCH1,4851,LEF1,51176,0.984
S100B,6285,S100A1,6271,0.994
YWHAZ,7534,TUBB,203068,0.901
PTPN6,5777,JAK3,3718,0.965
PLSCR1,5359,FAM103A1,83640,0.732
PSME3,10197,CASP6,839,0.798
IL1R1,3554,MYD88,4615,0.994
YWHAQ,10971,NIF3L1,60491,0.862
FYN,2534,ITK,3702,0.951
GRM7,2917,PICK1,9463,0.891
CBFB,865,RUNX3,864,0.67
MAF1,84232,SUMO2,6613,0.558
STOM,2040,ACCN2,41,0.967
FGF7,2252,COL1A1,1277,0.845
SMAD2,4087,HOXD13,3239,0.984
TNFRSF14,8764,IMPA2,3613,0.895
IKZF5,64376,IKZF2,22807,0.952
SPRY2,10253,PLSCR1,5359,0.778
PTK2,5747,SRC,6714,0.743
IGF2,3481,ITGB1BP3,27231,0.732
BTK,695,KCMF1,56888,0.983
ELF3,1999,NFKB1,4790,0.55
ACCN3,9311,MAGI1,9223,0.743
TNPO1,3842,NUP214,8021,0.558
MTIF2,4528,NFKBIB,4793,0.964
EGFR,1956,PIK3R1,5295,0.695
HDAC9,9734,HDAC4,9759,0.55
ADORA2A,135,ACTN2,88,0.999
PTPN6,5777,EGFR,1956,0.984
GMFB,2764,MAPK14,1432,0.951
TGIF1,7050,SIN3A,25942,0.984
TFAP2A,7020,EP300,2033,0.984
MAP1B,4131,U2AF1,7307,0.895
PIGR,5284,AP1M1,8907,0.745
SFRS10,6434,RNPS1,10921,0.798
DMD,1756,DTNA,1837,0.896
GTF3C1,2975,GTF3C4,9329,0.984
STAT2,6773,HDAC1,3065,0.984
PIP4K2A,5305,GIT1,28964,0.862
MCM7,4176,ORC4L,5000,0.798
STAT1,6772,ING4,51147,0.984
ZAP70,7535,DUSP3,1845,0.903
TRIM24,8805,TRIM33,51592,0.984
NGFR,4804,MAGEH1,28986,0.903
PKMYT1,9088,BCL2,596,0.895
TSHR,7253,JAK1,3716,0.692
BMP1,649,YLPM1,56252,0.732
PRKDC,5591,NCOA6,23054,0.902
EIF2S2,8894,CSNK2B,1460,0.778
EPB41,2035,TJP2,9414,0.951
UBB,7314,SNCAIP,9627,0.951
CCDC85B,11007,PLOD3,8985,0.667
AXIN1,8312,BTRC,8945,0.901
GNAO1,2775,RGS19,10287,0.822
GTF2I,2969,YY1,7528,0.984
DNM1,1759,NME2,4831,0.64
STAT1,6772,FANCC,2176,0.743
CALM1,801,RIT2,6014,0.595
ITSN2,50618,TBL3,10607,0.895
CSNK1E,1454,PER2,8864,0.984
ACTA1,58,PARVA,55742,0.862
BTRC,8945,CUL1,8454,0.984
BRCA2,675,BCCIP,56647,0.798
ZZEF1,23140,SKIL,6498,0.862
MAD2L1,4085,CDC27,996,0.798
CHUK,1147,KRT10,3858,0.862
GADD45A,1647,HIST3H3,8290,0.952
LILRB1,10859,HLA-G,3135,0.998
RHOA,387,PRKCZ,5590,0.901
GAD2,2572,PRKCE,5581,0.605
MAP4K2,5871,SERPINA4,5267,0.732
NCOA1,8648,NR5A1,2516,0.952
SHC1,6464,MAPK6,5597,0.951
NFKBIA,4792,NCOR2,9612,0.984
CSNK2A1,1457,HIF1A,3091,0.966
CALM1,801,STRN3,29966,0.895
SHC1,6464,AP2A2,161,0.862
ACP5,54,MAPK9,5601,0.862
AGAP1,116987,TK1,7083,0.951
SUMO4,387082,PSMC2,5701,0.984
JAK2,3717,PKD1,5310,0.967
LIPE,3991,MAPK1,5594,0.743
MCF2,4168,HAND2,9464,0.952
MAPK3,5595,SMAD2,4087,0.901
LMNB1,4001,LBR,3930,0.951
SFRS1,6426,SIP1,8487,0.798
BARD1,580,TP53,7157,0.966
YWHAZ,7534,C22orf9,23313,0.862
IRAK1,3654,AKT1,207,0.87
SEPT8,23176,PHF17,79960,0.984
TRAF2,7186,FAM107A,11170,0.988
LENG1,79165,KLF10,7071,0.964
KPNB1,3837,NFYA,4800,0.952
ANXA7,310,TP53,7157,0.902
PPP2CA,5515,APC,324,0.743
UBAP2L,9898,BAT2,7916,0.953
ECH1,1891,PAFAH1B3,5050,0.862
BRCA2,675,RAD51,5888,0.798
RBL1,5933,E2F4,1874,0.902
RFC1,5981,HDAC1,3065,0.839
NR2C2,7182,AR,367,0.952
PARP1,142,RELA,5970,0.901
MAGED1,9500,DLX4,1748,0.952
PTPN13,5783,ARHGAP29,9411,0.798
MAPK8IP2,23542,TP53BP2,7159,0.984
SMAD2,4087,LEMD3,23592,0.862
